,,,,,,,,,,,,,,,,,,,f,,,,,,,,,,
Tom Brady,Mike Davis,Chris Carson,Calvin Ridley,Tyler Boyd,Scotty Miller,Darren Waller,Jamaal Williams,Patriots ,105.8346024,39.86,8.6,5.1,19.9,30.74,25.9,17,21.4,4,172.5,,,,,,,,,Matt Ryan,21.52
Kyler Murray,Jamaal Williams,Jerick McKinnon,DK Metcalf,Tyler Boyd,Brandin Cooks,Darren Waller,Christian Kirk,Chiefs ,106.3879582,41.1,21.4,-0.1,4.3,30.74,13,17,20.7,24,172.14,,,,,,,,,Ronald Jones II,10.6
Kyler Murray,Derrick Henry,Jamaal Williams,DeAndre Hopkins,Tyreek Hill,Tim Patrick,Will Dissly,Giovani Bernard,Bills ,110.0946298,41.1,15.2,21.4,28.3,17.5,7.4,5.8,20.6,14,171.3,,,,,,,,,Mike Williams,1.4
Kyler Murray,Kareem Hunt,Jamaal Williams,DeAndre Hopkins,Stefon Diggs,Brandin Cooks,Greg Olsen,Melvin Gordon III,WAS Football Team ,111.8991391,41.1,19.2,21.4,28.3,10.8,13,3.8,14,17,168.6,,,,,,,,,Bills ,14
Kyler Murray,Jamaal Williams,David Johnson,DeAndre Hopkins,Kenny Golladay,Tee Higgins,Greg Olsen,Julian Edelman,Bills ,105.9101771,41.1,21.4,17.4,28.3,20.4,18.8,3.8,2.3,14,167.5,,,,,,,,,Derrick Henry,15.2
Kyler Murray,Derrick Henry,David Johnson,DeAndre Hopkins,Deebo Samuel,Julian Edelman,Will Dissly,Diontae Johnson,Bills ,103.0165721,41.1,15.2,17.4,28.3,12.2,2.3,5.8,29,14,165.3,,,,,,,,,Matthew Stafford,21.4
Kyler Murray,Clyde Edwards-Helaire,Jamaal Williams,DeAndre Hopkins,DK Metcalf,Tyler Boyd,Hunter Henry,Julian Edelman,WAS Football Team ,105.9477914,41.1,13.3,21.4,28.3,4.3,30.74,5.3,2.3,17,163.74,,,,,,,,,George Kittle,10.5
Russell Wilson,Kareem Hunt,Jamaal Williams,DeAndre Hopkins,CeeDee Lamb,Tre'Quan Smith,Greg Olsen,Giovani Bernard,Chiefs ,112.4351766,35.92,19.2,21.4,28.3,0.1,9.4,3.8,20.6,24,162.72,,,,,,,,,T.J. Hockenson,16.9
Tom Brady,Derrick Henry,Kareem Hunt,Will Fuller V,Tim Patrick,Scotty Miller,Darren Waller,Jamaal Williams,Patriots ,117.7873671,39.86,15.2,19.2,12.5,7.4,25.9,17,21.4,4,162.46,,,,,,,,,Breshad Perriman,4.7
Russell Wilson,Jamaal Williams,David Johnson,DK Metcalf,Calvin Ridley,Christian Kirk,Travis Kelce,Diontae Johnson,Browns ,109.7160265,35.92,21.4,17.4,4.3,19.9,20.7,6.1,29,7,161.72,,,,,,,,,Patrick Mahomes,12
Kyler Murray,Alvin Kamara,Jamaal Williams,Will Fuller V,Robby Anderson,Odell Beckham Jr.,Will Dissly,Christian Kirk,Chiefs ,106.1825963,41.1,22.8,21.4,12.5,13.4,0,5.8,20.7,24,161.7,,,,,,,,,Robert Tonyan,5.2
Aaron Rodgers,Derrick Henry,Giovani Bernard,Davante Adams,Will Fuller V,Scotty Miller,Hunter Henry,Jerick McKinnon,Cardinals ,113.0488965,27.32,15.2,20.6,47.6,12.5,25.9,5.3,-0.1,7,161.32,,,,,,,,,Cowboys ,2
Kyler Murray,Kareem Hunt,Jamaal Williams,DK Metcalf,Mike Evans,Tyler Boyd,Dan Arnold,Josh Jacobs,Chiefs ,110.911023,41.1,19.2,21.4,4.3,5.7,30.74,7.7,6.1,24,160.24,,,,,,,,,Chris Godwin,23.8
Kyler Murray,Derrick Henry,Jamaal Williams,DK Metcalf,Tyler Boyd,Christian Kirk,Hunter Henry,Tim Patrick,Bills ,109.3990489,41.1,15.2,21.4,4.3,30.74,20.7,5.3,7.4,14,160.14,,,,,,,,,Diontae Johnson,29
Russell Wilson,Kareem Hunt,Jamaal Williams,DK Metcalf,Terry McLaurin,Christian Kirk,Taysom Hill,Giovani Bernard,Bills ,113.3671074,35.92,19.2,21.4,4.3,22,20.7,0.6,20.6,14,158.72,,,,,,,,,Chargers ,6
Kyler Murray,Mike Davis,Jamaal Williams,DK Metcalf,Kenny Golladay,Terry McLaurin,Dan Arnold,Tee Higgins,Bills ,109.9670801,41.1,8.6,21.4,4.3,20.4,22,7.7,18.8,14,158.3,,,,,,,,,Darren Fells,0
Justin Herbert,Alvin Kamara,Giovani Bernard,Terry McLaurin,Brandin Cooks,DJ Chark Jr.,Hunter Henry,Melvin Gordon III,Bills ,108.1402094,41.48,22.8,20.6,22,13,3.6,5.3,14,14,156.78,,,,,,,,,James Conner,14.1
Russell Wilson,Jamaal Williams,Giovani Bernard,DeAndre Hopkins,DK Metcalf,Chris Godwin,Hunter Henry,Deebo Samuel,Lions ,110.6321253,35.92,21.4,20.6,28.3,4.3,23.8,5.3,12.2,4,155.82,,,,,,,,,Lions ,4
Kyler Murray,Kareem Hunt,Jamaal Williams,DeAndre Hopkins,DK Metcalf,Tre'Quan Smith,Hunter Henry,Giovani Bernard,Buccaneers ,113.9948392,41.1,19.2,21.4,28.3,4.3,9.4,5.3,20.6,6,155.6,,,,,,,,,A.J. Brown,30.3
Kyler Murray,Jamaal Williams,Giovani Bernard,DeAndre Hopkins,DK Metcalf,Deebo Samuel,Taysom Hill,Brandin Cooks,Bills ,110.0680363,41.1,21.4,20.6,28.3,4.3,12.2,0.6,13,14,155.5,,,,,,,,,Falcons ,2
Kyler Murray,Derrick Henry,Giovani Bernard,DK Metcalf,Deebo Samuel,Tre'Quan Smith,T.J. Hockenson,Christian Kirk,Bills ,108.750772,41.1,15.2,20.6,4.3,12.2,9.4,16.9,20.7,14,154.4,,,,,,,,,Buccaneers ,6
Kyler Murray,Ezekiel Elliott,Jamaal Williams,DK Metcalf,Odell Beckham Jr.,A.J. Brown,Dan Arnold,Diontae Johnson,Bills ,102.7365483,41.1,6.1,21.4,4.3,0,30.3,7.7,29,14,153.9,,,,,,,,,DJ Chark Jr.,3.6
Kyler Murray,Kareem Hunt,Jamaal Williams,DK Metcalf,Terry McLaurin,Chase Claypool,Darren Fells,Christian Kirk,Chiefs ,111.3858122,41.1,19.2,21.4,4.3,22,0.8,0,20.7,24,153.5,,,,,,,,,Marvin Jones Jr.,13
Justin Herbert,Alvin Kamara,Jamaal Williams,Will Fuller V,Odell Beckham Jr.,DJ Chark Jr.,Hunter Henry,Giovani Bernard,Chiefs ,103.0423946,41.48,22.8,21.4,12.5,0,3.6,5.3,20.6,24,151.68,,,,,,,,,A.J. Green,15.2
Joe Burrow,Alvin Kamara,Mike Davis,Odell Beckham Jr.,Tyler Boyd,Deebo Samuel,Jonnu Smith,Jamaal Williams,Bills ,113.5351727,38.64,22.8,8.6,0,30.74,12.2,1.9,21.4,14,150.28,,,,,,,,,James Robinson,34.7
Russell Wilson,Mike Davis,Jamaal Williams,DeAndre Hopkins,Chase Claypool,Scotty Miller,Greg Olsen,Jerick McKinnon,Chiefs ,114.0893842,35.92,8.6,21.4,28.3,0.8,25.9,3.8,-0.1,24,148.62,,,,,,,,,Saints ,1
Russell Wilson,Ezekiel Elliott,Jamaal Williams,DK Metcalf,Tee Higgins,Scotty Miller,Dan Arnold,James Conner,Bills ,106.8768605,35.92,6.1,21.4,4.3,18.8,25.9,7.7,14.1,14,148.22,,,,,,,,,Chiefs ,24
Russell Wilson,Derrick Henry,Mike Davis,DK Metcalf,Tyler Boyd,Tre'Quan Smith,Dan Arnold,Jamaal Williams,Bills ,107.0923691,35.92,15.2,8.6,4.3,30.74,9.4,7.7,21.4,14,147.26,,,,,,,,,Titans ,6
Teddy Bridgewater,Derrick Henry,Jamaal Williams,Terry McLaurin,Julio Jones,DJ Moore,Taysom Hill,Jerick McKinnon,Chiefs ,103.7264487,19.16,15.2,21.4,22,17.7,25.3,0.6,-0.1,24,145.26,,,,,,,,,Teddy Bridgewater,19.16
Russell Wilson,Alvin Kamara,Clyde Edwards-Helaire,Chase Claypool,Deebo Samuel,Christian Kirk,Greg Olsen,Jamaal Williams,Bills ,108.6188559,35.92,22.8,13.3,0.8,12.2,20.7,3.8,21.4,14,144.92,,,,,,,,,Jarvis Landry,10.96
Patrick Mahomes,Alvin Kamara,Jamaal Williams,Tyreek Hill,Tyler Boyd,Jerry Jeudy,Hunter Henry,James Conner,WAS Football Team ,106.3555884,12,22.8,21.4,17.5,30.74,4,5.3,14.1,17,144.84,,,,,,,,,Odell Beckham Jr.,0
Russell Wilson,Jamaal Williams,James Conner,Tyreek Hill,DK Metcalf,Terry McLaurin,Dan Arnold,David Johnson,Patriots ,110.0292526,35.92,21.4,14.1,17.5,4.3,22,7.7,17.4,4,144.32,,,,,,,,,James O'Shaughnessy,6.2
Russell Wilson,Derrick Henry,Jamaal Williams,Will Fuller V,Tee Higgins,Christian Kirk,Will Dissly,Jerick McKinnon,Bills ,111.4566639,35.92,15.2,21.4,12.5,18.8,20.7,5.8,-0.1,14,144.22,,,,,,,,,Jonnu Smith,1.9
Russell Wilson,Jamaal Williams,Josh Jacobs,DK Metcalf,Mike Evans,Christian Kirk,Hunter Henry,Giovani Bernard,Chiefs ,104.9789714,35.92,21.4,6.1,4.3,5.7,20.7,5.3,20.6,24,144.02,,,,,,,,,Cole Beasley,25.2
Russell Wilson,Jamaal Williams,James Conner,DeAndre Hopkins,Tyreek Hill,Mike Evans,Greg Olsen,Tre'Quan Smith,Browns ,106.8864597,35.92,21.4,14.1,28.3,17.5,5.7,3.8,9.4,7,143.12,,,,,,,,,Josh Jacobs,6.1
Kyler Murray,Kareem Hunt,Jamaal Williams,Tyreek Hill,DK Metcalf,Christian Kirk,Taysom Hill,Melvin Gordon III,Patriots ,111.995441,41.1,19.2,21.4,17.5,4.3,20.7,0.6,14,4,142.8,,,,,,,,,Dalton Schultz,4.2
Tom Brady,Derrick Henry,Jamaal Williams,Odell Beckham Jr.,Chris Godwin,DJ Chark Jr.,Darren Waller,Melvin Gordon III,Cardinals ,110.456714,39.86,15.2,21.4,0,23.8,3.6,17,14,7,141.86,,,,,,,,,Seahawks ,0
Patrick Mahomes,Kareem Hunt,Jamaal Williams,Kenny Golladay,Tyler Boyd,Tre'Quan Smith,Travis Kelce,Tim Patrick,Bills ,111.1951352,12,19.2,21.4,20.4,30.74,9.4,6.1,7.4,14,140.64,,,,,,,,,Logan Thomas,16
Patrick Mahomes,Derrick Henry,Jamaal Williams,Mike Evans,Tyler Boyd,Tim Patrick,Travis Kelce,James Robinson,Cardinals ,99.15412477,12,15.2,21.4,5.7,30.74,7.4,6.1,34.7,7,140.24,,,,,,,,,Harrison Bryant,21.6
Patrick Mahomes,Kareem Hunt,Jamaal Williams,Tyreek Hill,Chris Godwin,Julian Edelman,Noah Fant,Giovani Bernard,Bills ,110.9719824,12,19.2,21.4,17.5,23.8,2.3,6.8,20.6,14,137.6,,,,,,,,,Cardinals ,7
Russell Wilson,Kareem Hunt,Jamaal Williams,Stefon Diggs,DK Metcalf,Robby Anderson,Dan Arnold,Giovani Bernard,Patriots ,108.4888606,35.92,19.2,21.4,10.8,4.3,13.4,7.7,20.6,4,137.32,,,,,,,,,Deebo Samuel,12.2
Justin Herbert,Kareem Hunt,Jamaal Williams,Tyreek Hill,Robby Anderson,Chase Claypool,Hunter Henry,DJ Chark Jr.,Bills ,107.5867839,41.48,19.2,21.4,17.5,13.4,0.8,5.3,3.6,14,136.68,,,,,,,,,Demarcus Robinson,1.4
Russell Wilson,Derrick Henry,Jamaal Williams,DeAndre Hopkins,Robby Anderson,Tre'Quan Smith,Greg Olsen,Julian Edelman,Buccaneers ,111.0755762,35.92,15.2,21.4,28.3,13.4,9.4,3.8,2.3,6,135.72,,,,,,,,,Eric Ebron,11
Kyler Murray,Derrick Henry,Mike Davis,DK Metcalf,Chase Claypool,Deebo Samuel,Dan Arnold,Jamaal Williams,Chiefs ,111.3065553,41.1,15.2,8.6,4.3,0.8,12.2,7.7,21.4,24,135.3,,,,,,,,,JuJu Smith-Schuster,17.5
Russell Wilson,Kareem Hunt,Jamaal Williams,Tyreek Hill,CeeDee Lamb,Christian Kirk,Greg Olsen,Julian Edelman,Bills ,112.5207293,35.92,19.2,21.4,17.5,0.1,20.7,3.8,2.3,14,134.92,,,,,,,,,Hayden Hurst,12.8
Kyler Murray,Clyde Edwards-Helaire,Melvin Gordon III,DK Metcalf,Amari Cooper,Deebo Samuel,Hunter Henry,Christian Kirk,Browns ,112.0448026,41.1,13.3,14,4.3,15.5,12.2,5.3,20.7,7,133.4,,,,,,,,,Greg Olsen,3.8
Patrick Mahomes,Derrick Henry,Jamaal Williams,DeAndre Hopkins,Tim Patrick,Julian Edelman,Travis Kelce,Giovani Bernard,WAS Football Team ,108.2768377,12,15.2,21.4,28.3,7.4,2.3,6.1,20.6,17,130.3,,,,,,,,,Patriots ,4
Russell Wilson,James Conner,Giovani Bernard,DK Metcalf,Will Fuller V,Tre'Quan Smith,Dan Arnold,Jerick McKinnon,Chiefs ,108.7930716,35.92,14.1,20.6,4.3,12.5,9.4,7.7,-0.1,24,128.42,,,,,,,,,Tyler Kroft,10.4
Aaron Rodgers,Alvin Kamara,Chris Carson,Deebo Samuel,Brandin Cooks,Tim Patrick,Robert Tonyan,Giovani Bernard,Bills ,108.480683,27.32,22.8,5.1,12.2,13,7.4,5.2,20.6,14,127.62,,,,,,,,,Mike Evans,5.7
Kyler Murray,Kareem Hunt,Jamaal Williams,DeAndre Hopkins,DK Metcalf,Chase Claypool,Taysom Hill,Tim Patrick,Lions ,107.5719661,41.1,19.2,21.4,28.3,4.3,0.8,0.6,7.4,4,127.1,,,,,,,,,Noah Fant,6.8
