
"Justin Herbert","Kenyan Drake","DeAndre Washington","Calvin Ridley","Keenan Allen","Corey Davis","Logan Thomas","Amari Cooper","Seahawks ","251.6429563055427"
"Tom Brady","Aaron Jones","J.D. McKissic","Adam Thielen","Mike Evans","Corey Davis","T.J. Hockenson","Breshad Perriman","Cowboys ","229.20691372145086"
"Aaron Rodgers","David Montgomery","Ronald Jones II","Davante Adams","Tim Patrick","Curtis Samuel","T.J. Hockenson","DeAndre Washington","Eagles ","180.12920729326035"
"Ryan Tannehill","Austin Ekeler","David Montgomery","Corey Davis","DJ Chark Jr.","Michael Pittman Jr.","Mike Gesicki","Antonio Brown","Saints ","157.8946189369662"
"Russell Wilson","Wayne Gallman Jr.","DeAndre Washington","Chris Godwin","Tyler Lockett","Breshad Perriman","Travis Kelce","Michael Gallup","Saints ","148.34887714570283"
"Patrick Mahomes","James Robinson","J.D. McKissic","Tyreek Hill","Curtis Samuel","Michael Gallup","Mike Gesicki","Russell Gage","Seahawks ","112.90253937736364"
"Tom Brady","David Montgomery","Kenyan Drake","Justin Jefferson","Chris Godwin","Curtis Samuel","T.J. Hockenson","Todd Gurley II","Cowboys ","282.77187522432945"
"Ryan Tannehill","Aaron Jones","David Montgomery","Robby Anderson","Corey Davis","DJ Chark Jr.","Logan Thomas","Wayne Gallman Jr.","Seahawks ","213.429995587268"
"Tom Brady","Austin Ekeler","James Robinson","Adam Thielen","Antonio Brown","Michael Gallup","Evan Engram","J.D. McKissic","Seahawks ","176.5782827440814"
"Justin Herbert","James Robinson","Wayne Gallman Jr.","Keenan Allen","Curtis Samuel","Russell Gage","Rob Gronkowski","DeAndre Washington","Saints ","146.3897493901611"
"Russell Wilson","Mike Davis","Austin Ekeler","Corey Davis","Tyler Lockett","Breshad Perriman","T.J. Hockenson","DeAndre Washington","Buccaneers ","132.65588204378327"
"Patrick Mahomes","Chris Carson","J.D. McKissic","Tyreek Hill","Robby Anderson","Breshad Perriman","Mike Gesicki","Russell Gage","Cowboys ","130.64768285259788"
"Justin Herbert","Kenyan Drake","J.D. McKissic","Calvin Ridley","Keenan Allen","Tyler Boyd","T.J. Hockenson","Michael Gallup","Saints ","281.70073761335783"
"Aaron Rodgers","Jonathan Taylor","DeAndre Washington","Davante Adams","Corey Davis","Tim Patrick","T.J. Hockenson","Brandon Aiyuk","Seahawks ","192.96635497023414"
"Tom Brady","Aaron Jones","Chris Carson","Adam Thielen","Tim Patrick","Antonio Brown","Mike Gesicki","J.D. McKissic","Cowboys ","173.17506864630215"
"Russell Wilson","Austin Ekeler","David Montgomery","Robby Anderson","Tim Patrick","Tyler Lockett","Logan Thomas","Breshad Perriman","Saints ","127.40043323570676"
"Ryan Tannehill","David Montgomery","J.D. McKissic","Corey Davis","Chris Godwin","DJ Chark Jr.","Travis Kelce","Michael Pittman Jr.","Eagles ","90.21040802564103"
"Tom Brady","Aaron Jones","DeAndre Washington","Justin Jefferson","Mike Evans","Tim Patrick","T.J. Hockenson","Curtis Samuel","Seahawks ","283.9857712361774"
"Justin Herbert","Aaron Jones","James Robinson","Keenan Allen","Chris Godwin","Breshad Perriman","Logan Thomas","Russell Gage","Cowboys ","211.40930532528932"
"Ryan Tannehill","David Montgomery","J.D. McKissic","A.J. Brown","Amari Cooper","DJ Chark Jr.","T.J. Hockenson","Breshad Perriman","Saints ","210.8956396418854"
"Tom Brady","Austin Ekeler","Chris Carson","Adam Thielen","Corey Davis","Antonio Brown","Logan Thomas","Michael Gallup","Saints ","145.2589425953233"
"Patrick Mahomes","Kenyan Drake","Todd Gurley II","DeVante Parker","Curtis Samuel","Antonio Brown","Travis Kelce","J.D. McKissic","Cowboys ","46.40406625225085"
"Ryan Tannehill","Jonathan Taylor","Todd Gurley II","A.J. Brown","Chris Godwin","DJ Chark Jr.","T.J. Hockenson","J.D. McKissic","Saints ","230.52311819071713"
"Tom Brady","Aaron Jones","DeAndre Washington","A.J. Brown","Adam Thielen","Brandon Aiyuk","Logan Thomas","Antonio Brown","Seahawks ","180.01778594311304"
"Patrick Mahomes","Aaron Jones","J.D. McKissic","Tyreek Hill","Tim Patrick","Curtis Samuel","Mike Gesicki","Russell Gage","Cowboys ","128.47149613225542"
"Aaron Rodgers","Giovani Bernard","DeAndre Washington","Davante Adams","Calvin Ridley","Corey Davis","T.J. Hockenson","Michael Gallup","Eagles ","113.88934837144659"
"Russell Wilson","Austin Ekeler","Wayne Gallman Jr.","Robby Anderson","Chris Godwin","Tyler Lockett","Logan Thomas","Breshad Perriman","Cowboys ","80.06702284683578"
"Justin Herbert","Chris Carson","DeAndre Washington","Keenan Allen","Tyler Boyd","Breshad Perriman","Travis Kelce","Russell Gage","Saints ","37.785976566198336"
"Justin Herbert","Mike Davis","Chris Carson","Keenan Allen","Chris Godwin","Breshad Perriman","T.J. Hockenson","Russell Gage","Cowboys ","340.31986544057077"
"Tom Brady","Alvin Kamara","J.D. McKissic","Justin Jefferson","Michael Pittman Jr.","Curtis Samuel","T.J. Hockenson","Antonio Brown","Seahawks ","212.6719960898244"
"Russell Wilson","James Robinson","DeAndre Washington","A.J. Brown","Tyler Lockett","Michael Pittman Jr.","Logan Thomas","Breshad Perriman","Saints ","181.4724403306795"
